Voter ID,Vote ID,Vote TTL,Votes for: 政を祭に変える #vote_forプロジェクト,Votes for: 淡路島クエストカレッジ,Votes for: イナトリアートセンター計画,Votes for: JINEN TRAVEL,Votes for: ビオ田んぼプロジェクト,Votes for: パラ旅応援団,Votes for: 10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM
6582b125-5533-4a89-94a6-1c9ee7bd700c,54a17ddb-8665-4984-a52e-b2fb807dbdd0,1746238207,7,4,2,1,2,3,4
16f75741-0cfc-456a-8024-062387315278,dbf2294b-34d7-4596-aefc-9c7e80e7b135,1746238207,3,4,2,1,6,5,2
63b7624e-8891-42cf-af77-c62b4e34fd36,a02d21f4-7e2b-4a82-9c22-13e3a41f13fc,1746238207,0,0,0,0,0,9,0
86f29980-2fc5-4a9c-9cee-477e1a6913f2,b4e7bf02-2c6a-41ef-b25b-24f6254850d5,1746238207,3,7,0,5,0,0,4
4fcfb0c5-e95d-4e15-a09c-d876dd75787c,e521ecca-5918-40d4-bad7-784faf016bc9,1746238207,4,2,0,5,2,7,1
3f9bf616-4d91-416b-8057-3cef18a9e25e,7a93c6b2-e9d0-4b28-addc-89bebd833b84,1746238207,3,2,3,2,3,3,7
3328a2a3-940b-4e28-83ee-ee5c74b53a4e,004c9f3b-4f34-48bd-914e-ce5ff7ce3a15,1746238207,1,3,6,7,1,1,1
4f8abd63-d2a3-44a3-9b52-e5b68c7e209e,f3a732b1-fba0-44c5-984e-4b36154bae2c,1746238207,2,4,4,2,3,5,5
694afab6-3b7e-48fd-9547-d011dd8991cb,9340fb65-e3c2-4caa-82c4-cbc6454e0220,1746238207,3,2,1,1,7,4,4
f55a52bc-d3b0-4aab-8bed-ee0ec7a3599e,11df313e-da12-4d28-837a-1342ae00dd26,1746238207,6,4,2,1,4,1,5
9e4a684a-d880-4e40-a91f-2ebdacbc82ce,060d2841-b308-40e9-ba04-a6b78bc9bf19,1746238207,2,9,0,2,0,1,3
ea26b329-80c7-4342-a10e-30ea874517db,8e6c360a-a6c8-4b99-abaa-cbc022c5f90d,1746238207,1,4,4,4,5,2,4
8044d930-cf27-4cc0-a288-06c5206302c8,42e9094a-0bc1-4c50-8d46-e9be487f90cd,1746238207,5,4,1,4,4,4,3
9950bf20-1c97-4203-bfcd-d2a27d90b49a,8252575b-8b63-4d36-ae07-6ef6d4b1a552,1746238207,4,2,1,1,3,4,4
dd1c1dae-737b-4dd8-a6f8-545e78ab77c7,1af745c1-b546-4c44-bd07-b207af4a485d,1746238207,0,4,3,4,7,0,3
5678fcf5-78ec-419e-85b9-95f600f32395,99bb66af-0dd9-48e5-bc8b-45065eba6b04,1746238207,2,7,2,2,3,2,5
f6fbdbd0-70c6-4e0e-a44e-0b148a56f803,cc7e7a2e-8889-4a1b-9e49-580053aab1c0,1746238207,0,9,0,0,1,1,4
e920e8a1-a948-4922-b5ef-b97acd61d041,17c2055b-757f-4e09-8830-54365c4af6a1,1746238207,4,5,4,3,3,3,3
0a733706-eaa5-475d-adb8-efde5898fb98,671014a3-0498-4142-9e5f-ce6bf6803a24,1746238207,0,4,0,0,9,1,1
f9491ad5-a2aa-4b43-9abf-9b4853f5221d,20880e27-145d-410c-b8bf-9c546a8bf386,1746238207,1,7,0,0,7,0,0
5edb56bd-7856-4ff7-85a3-e4a28b890fe0,b90ed6d1-6c63-4463-a5b4-726bd6cbc4d3,1746238207,1,3,2,2,2,2,8
b65c3102-8850-4041-ad67-1c248f11bee8,61dfd6e7-e511-4623-b265-b7f1853422c4,1746238207,1,3,6,2,6,2,3
fbcc57bb-9fbe-4db2-a080-ac64478e845a,d47bf65e-63b6-493d-9b94-40c2624f1068,1746238207,4,5,5,2,2,4,3
a92ae152-02e0-4a9b-b11a-af3261e94bf5,d2210f49-623b-41ff-9246-0e241d399620,1746238207,0,0,4,0,6,1,6
96acce12-ad02-47ab-ac80-042e3b873be0,a672140f-f2c8-4b55-8173-1714d198067c,1746238207,4,4,2,3,1,2,7
01c9a978-56a5-408a-8fcf-c04548a5089c,9924a284-6d65-4c02-8958-a25bf087a4b7,1746238207,4,5,3,4,4,2,3
b5259881-abf8-47ef-aa43-c4be0675cae8,7269add2-c8e3-4f3f-bfe2-9100e7f5915e,1746238207,2,7,1,1,3,5,3
00e162ef-ca9d-4a14-bf4a-d04cd8dc2024,15e255d4-a2ba-4d28-a579-9bba578fed1f,1746238207,1,6,3,3,2,6,2
2957c454-0ebf-4766-a889-4e90038296d6,b1b1ae2f-8497-4ac2-9536-8b0d5cacc39d,1746238207,0,5,4,1,1,1,6
fcc73a01-309e-4be7-99de-d3586e28ea9c,ff2a5478-c6e9-4ad7-ba7b-2f04a04c12f4,1746238207,0,1,5,1,1,0,1
92389a06-af6c-4fa1-b88f-c8d252cc0bb0,3322b298-bb20-46a5-8172-e902aa33ec5b,1746238207,2,2,6,1,6,3,3
39df0fc7-dc6b-49ef-88f9-342b7ae35cc8,9d989226-301e-4898-bb64-1e44e5d58bf1,1746238207,2,4,1,0,-1,6,6
b72a7d9c-6dfd-4b38-96a7-1b725926000b,1c1510f3-6cf5-4189-aee6-5318a3976fe4,1746238207,6,0,0,-2,2,2,7
ae80977c-a98a-41a5-9569-0b4f698c5636,36b44900-f7ba-48a1-9d19-48679d05e610,1746238207,3,4,4,2,3,2,6
2f4631f7-d7ad-40c5-a541-5cc61e35bc6c,2b69547a-7c1c-406a-b1a1-d808460a3d9f,1746238207,1,0,0,0,4,4,8
